rule_card_class,resource,resource_subtype,source_file,primary_id,metals_detected,oxidation_states_reported,chemistry_trust_score_row,chemistry_trust_tier_row,observability_score,interpretation
validated_not_observable,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,xujqok,Zn,,0.76,high,0.4,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
validated_not_observable,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.xlsx,olebit,Cd,,0.77,high,0.6,oxidation state: not_observable
validated_not_observable,CoRE MOF 2024,CoRE-2024 ASR/FSR/ION metadata,fsr_data_si_20250204.csv,[la].[o-][n+]1ccc(cc1)c(=o)[o-]mofid-v1.error.cat0;am9b04619_si_002_fsr_pacman,,,0.74,high,0.0,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
validated_not_observable,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,zubfot,Pb,,0.77,high,0.6,oxidation state: not_observable
validated_not_observable,CoRE MOF 2024,CoRE-2024 water GEMC/Widom tables,widom.xlsx,widom.xlsx::3862,,,0.75,high,0.2,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
validated_not_observable,CoRE MOF 2024,CoRE-2024 water GEMC/Widom tables,widom.xlsx,widom.xlsx::2334,,,0.75,high,0.2,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
validated_not_observable,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.xlsx,quffon,Ag,,0.76,high,0.4,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
validated_not_observable,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,hawkog,K;Co,,0.77,high,0.6,oxidation state: not_observable
uncertain_observable,QMOF,QMOF quantum-property table,qmof.csv,[o-]c(=o)c1cc(occ2ccccc2c(=o)o)cc(c1)c(=o)[o-].[oh2][cd].n1ccc(cc1)c=cc1ccncc1mofid-v1.sql.cat0,Cd,,0.64,medium,0.4,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_observable,QMOF,QMOF quantum-property table,qmof.csv,,Zn,,0.64,medium,0.4,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_observable,QMOF,QMOF quantum-property table,qmof.csv,,Ni,,0.64,medium,0.4,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_observable,QMOF,QMOF quantum-property table,qmof.csv,[al].[o-]c(=o)c12ccc(cc1)(cc2)c(=o)[o-].[o-]c(=o)c1ccc(c(c1)f)c(=o)[o-].[oh]mofid-v1.rna.cat0,Al,,0.64,medium,0.4,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_observable,QMOF,QMOF quantum-property table,qmof.csv,[al].[o-]c(=o)c1c(cl)cc(cc1cl)c#cc1cc(cl)c(c(c1)cl)c(=o)[o-]mofid-v1.ttp.cat0,Al,,0.64,medium,0.4,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_observable,QMOF,QMOF quantum-property table,qmof.csv,[c]#n.[fe].[pd]mofid-v1.sql.cat0,Fe;Pd,,0.64,medium,0.4,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_observable,QMOF,QMOF quantum-property table,qmof.csv,,Mg,,0.64,medium,0.4,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_observable,QMOF,QMOF quantum-property table,qmof.csv,,Zn,,0.64,medium,0.4,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_unobservable,CSD-derived context,CSD-derived context,CR_data_CSD_modified_20250227.csv,[co].[o-]c(=o)c1cc(cc(c1)c(=o)[o-])c(=o)[o-]mofid-v1.sql.cat0;xurquz_asr_pacman,,,0.44,low,0.0,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_unobservable,CSD-derived context,CSD-derived context,Framework details.csv,xakqor,,,0.44,low,0.0,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_unobservable,Other/unknown,Other/unknown,thermal_stability.json,lufnac02_clean,Mn,,0.45,low,0.2,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_unobservable,QMOF,QMOF quantum-property table,qmof.csv,,,,0.45,low,0.2,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_unobservable,Other/unknown,Other/unknown,thermal_stability.json,xocwuj_clean,,,0.44,low,0.0,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_unobservable,CSD-derived context,CSD-derived context,Framework details.csv,ukubos,,,0.44,low,0.0,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_unobservable,CSD-derived context,CSD-derived context,Framework details.csv,zijrod,,,0.44,low,0.0,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
uncertain_unobservable,CSD-derived context,CSD-derived context,Framework details.csv,simgaa,,,0.44,low,0.0,oxidation state: not_observable; charge balance: not_observable; chemistry evidence only partly observable in available columns
flagged_or_inconsistent,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,gemduy,Ag,,0.28,low,0.6,oxidation state: not_observable; charge balance: nonzero_charge_uncertain
flagged_or_inconsistent,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,ajacew01,Cu,,0.28,low,0.6,oxidation state: not_observable; charge balance: nonzero_charge_uncertain
flagged_or_inconsistent,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,lacpen,Cu,,0.28,low,0.6,oxidation state: not_observable; charge balance: nonzero_charge_uncertain
flagged_or_inconsistent,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,ehoqaw,Zn,,0.28,low,0.6,oxidation state: not_observable; charge balance: nonzero_charge_uncertain
flagged_or_inconsistent,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,rugkip,Mn;Cr,,0.28,low,0.6,oxidation state: not_observable; charge balance: nonzero_charge_uncertain
flagged_or_inconsistent,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,eyudei,,,0.27,low,0.4,oxidation state: not_observable; charge balance: nonzero_charge_uncertain; chemistry evidence only partly observable in available columns
flagged_or_inconsistent,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,yunxiq,,,0.27,low,0.4,oxidation state: not_observable; charge balance: nonzero_charge_uncertain; chemistry evidence only partly observable in available columns
flagged_or_inconsistent,MOSAEC-DB,MOSAEC chemistry-validation metadata,mosaec_db.csv,xepbax,Li;V,,0.28,low,0.6,oxidation state: not_observable; charge balance: nonzero_charge_uncertain
