source_table,target_column,descriptor_family,model,split_type,repeat,y_true,y_pred,observed_percentile,predicted_percentile
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.584375,2.6337616833333315,0.6259445843828715,0.536943744752309
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,9.814432,7.90082024333333,0.8774139378673383,0.8341729638958858
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.333715,0.6010084966666669,0.07766582703610411,0.1112510495382032
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.1443,1.4895257200000025,0.37741393786733834,0.35768261964735515
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.498431,2.218180849999998,0.46683459277917716,0.48404701931150296
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,2.728701,1.9570912966666685,0.6397984886649875,0.4450041981528128
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.768997,2.679164758333333,0.5121746431570109,0.5424013434089001
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,5.257791,2.259044823333334,0.7766582703610412,0.489504617968094
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.495161,4.009518735000003,0.4651553316540722,0.6586901763224181
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.195411,2.116039826666668,0.39210747271200674,0.4714525608732158
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.382815,1.6769781433333342,0.4429051217464316,0.3954659949622166
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.751749,1.4397377666666655,0.5088161209068011,0.3408900083963056
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,0.529431,0.7707720099999996,0.16456759026028547,0.16330814441645675
ARC-MOF::post_comb_vsa_co2.csv__RAC__racs.csv,v/v,RAC,extratrees,descriptor_grouped,2,1.085572,3.005091376666666,0.36439966414777497,0.5780856423173804
